Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0010736,2012-08-21,2012-08-21,,Amy Adams,Arrival,1974-08-20
2,nm0000255,2012-08-21,2012-08-21,,Ben Affleck,Argo,1972-08-15
3,nm0015196,2012-08-21,2012-08-21,,Malin Akerman,Watchmen,1978-05-12
4,nm0004695,2012-08-21,2012-08-21,,Jessica Alba,Fantastic Four,1981-04-28
5,nm0000741,2012-08-21,2012-08-21,,Tim Allen,Toy Story,1953-06-13
6,nm0000263,2012-08-21,2012-08-21,,Kirstie Alley,Drop Dead Gorgeous,1951-01-12
7,nm0000267,2012-08-21,2012-08-21,,Julie Andrews,The Sound of Music,1935-10-01
8,nm0000098,2012-08-21,2012-08-21,,Jennifer Aniston,Friends,1969-02-11
9,nm0000276,2012-08-21,2012-08-21,,Sean Astin,The Lord of the Rings: The Two Towers,1971-02-25
10,nm0000101,2012-08-21,2012-08-21,,Dan Aykroyd,Blues Brothers 2000,1952-07-01
11,nm0000102,2012-08-21,2012-08-21,,Kevin Bacon,Footloose,1958-07-08
12,nm0000285,2012-08-21,2012-08-21,,Alec Baldwin,The Departed,1958-04-03
13,nm0000288,2012-08-21,2012-08-21,,Christian Bale,The Dark Knight,1974-01-30
14,nm0051509,2012-08-21,2012-08-21,,Eric Bana,Munich,1968-08-09
15,nm0000104,2012-08-21,2012-08-21,,Antonio Banderas,The Mask of Zorro,1960-08-10
16,nm0006969,2012-08-21,2012-08-21,,Elizabeth Banks,The Hunger Games,1974-02-10
17,nm0000106,2012-08-21,2012-08-21,,Drew Barrymore,Never Been Kissed,1975-02-22
18,nm0000107,2012-08-21,2012-08-21,,Kim Basinger,L.A. Confidential,1953-12-08
19,nm0000291,2012-08-21,2012-08-21,,Angela Bassett,Strange Days,1958-08-16
20,nm0000870,2012-08-21,2012-08-21,,Kathy Bates,Misery,1948-06-28
21,nm0000293,2012-08-21,2012-08-21,,Sean Bean,The Lord of the Rings: The Fellowship of the Ring,1959-04-17
22,nm0000295,2012-08-21,2012-08-21,,Kate Beckinsale,Underworld: Evolution,1973-07-26
23,nm0068338,2012-08-21,2012-08-21,,Kristen Bell,Frozen,1980-07-18
24,nm0004741,2012-08-21,2012-08-21,,Camilla Belle,Practical Magic,1986-10-02
25,nm0004742,2012-08-21,2012-08-21,,Maria Bello,A History of Violence,1967-04-18
26,nm0000899,2012-08-21,2012-08-21,,Monica Bellucci,Malèna,1964-09-30
27,nm0000932,2012-08-21,2012-08-21,,Halle Berry,Catwoman,1966-08-14
28,nm0000906,2012-08-21,2012-08-21,,Annette Bening,American Beauty,1958-05-29
29,nm0004754,2012-08-21,2012-08-21,,Jessica Biel,The Illusionist,1982-03-03
30,nm0085312,2012-08-21,2012-08-21,,Jack Black,The School of Rock,1969-08-28
31,nm0004757,2012-08-21,2012-08-21,,Selma Blair,Cruel Intentions,1972-06-23
32,nm0000949,2012-08-21,2012-08-21,,Cate Blanchett,Carol,1969-05-14
33,nm0089217,2012-08-21,2012-08-21,,Orlando Bloom,The Lord of the Rings: The Fellowship of the Ring,1977-01-13
34,nm0000113,2012-08-21,2012-08-21,,Sandra Bullock,The Proposal,1964-07-26
35,nm0000114,2012-08-21,2012-08-21,,Steve Buscemi,Fargo,1957-12-13
36,nm0000321,2012-08-21,2012-08-21,,Gabriel Byrne,The Usual Suspects,1950-05-12
37,nm0126284,2012-08-21,2012-08-21,,Rose Byrne,Spy,1979-07-24
38,nm0000307,2012-08-21,2012-08-21,,Helena Bonham Carter,Sweeney Todd: The Demon Barber of Fleet Street,1966-05-26
39,nm0000973,2012-08-21,2012-08-21,,Benjamin Bratt,Miss Congeniality,1963-12-16
40,nm0000111,2012-08-21,2012-08-21,,Matthew Broderick,The Producers,1962-03-21
41,nm0000112,2012-08-21,2012-08-21,,Pierce Brosnan,The World Is Not Enough,1953-05-16
42,nm0000115,2012-08-21,2012-08-21,,Nicolas Cage,Face/Off,1964-01-07
43,nm0000323,2012-08-21,2012-08-21,,Michael Caine,The Prestige,1933-03-14
44,nm0000117,2012-08-21,2012-08-21,,Neve Campbell,Scream,1973-10-03
45,nm0000119,2012-08-21,2012-08-21,,Tia Carrere,Wayne's World,1967-01-02
46,nm0000120,2012-08-21,2012-08-21,,Jim Carrey,Ace Ventura: Pet Detective,1962-01-17
47,nm0136797,2012-08-21,2012-08-21,,Steve Carell,The Office,1962-08-16
48,nm0000329,2012-08-21,2012-08-21,,Jackie Chan,Ngo si seoi,1954-04-07
49,nm0000332,2012-08-21,2012-08-21,,Don Cheadle,Crash,1964-11-29
50,nm0003817,2012-08-21,2012-08-21,,Michael Clarke Duncan,The Green Mile,1957-12-10
51,nm0000123,2012-08-21,2012-08-21,,George Clooney,Michael Clayton,1961-05-06
52,nm0000335,2012-08-21,2012-08-21,,Glenn Close,Fatal Attraction,1947-03-19
53,nm0000124,2012-08-21,2012-08-21,,Jennifer Connelly,A Beautiful Mind,1970-12-12
54,nm0000125,2012-08-21,2012-08-21,,Sean Connery,The Untouchables,1930-08-25
55,nm0000126,2012-08-21,2012-08-21,,Kevin Costner,The Postman,1955-01-18
56,nm0001073,2012-08-21,2012-08-21,,Courteney Cox,Friends,1964-06-15
57,nm0185819,2012-08-21,2012-08-21,,Daniel Craig,Casino Royale,1968-03-02
58,nm0189144,2012-08-21,2012-08-21,,David Cross,Arrested Development,1964-04-04
59,nm0000128,2012-08-21,2012-08-21,,Russell Crowe,Les Misérables,1964-04-07
60,nm0000129,2012-08-21,2012-08-21,,Tom Cruise,Top Gun,1962-07-03
61,nm0004851,2012-08-21,2012-08-21,,Penélope Cruz,Vicky Cristina Barcelona,1974-04-28
62,nm0000346,2012-08-21,2012-08-21,,Macaulay Culkin,Home Alone,1980-08-26
63,nm0000349,2012-08-21,2012-08-21,,Joan Cusack,In & Out,1962-10-11
64,nm0000131,2012-08-21,2012-08-21,,John Cusack,Grosse Pointe Blank,1966-06-28
65,nm0193846,2012-08-21,2012-08-21,,Elisha Cuthbert,The Girl Next Door,1982-11-30
66,nm0000353,2012-08-21,2012-08-21,,Willem Dafoe,Spider-Man,1955-07-22
67,nm0000354,2012-08-21,2012-08-21,,Matt Damon,Good Will Hunting,1970-10-08
68,nm0001099,2012-08-21,2012-08-21,,Jeff Daniels,The Squid and the Whale,1955-02-19
69,nm0000133,2012-08-21,2012-08-21,,Geena Davis,Thelma & Louise,1956-01-21
70,nm0000134,2012-08-21,2012-08-21,,Robert De Niro,Raging Bull,1943-08-17
71,nm0001850,2012-08-21,2012-08-21,,Billy Dee Williams,Star Wars: Episode V - The Empire Strikes Back,1937-04-06
72,nm0001132,2012-08-21,2012-08-21,,Judi Dench,Skyfall,1934-12-09
73,nm0000136,2012-08-21,2012-08-21,,Johnny Depp,Sweeney Todd: The Demon Barber of Fleet Street,1963-06-09
74,nm0000368,2012-08-21,2012-08-21,,Laura Dern,Jurassic Park,1967-02-10
75,nm0000362,2012-08-21,2012-08-21,,Danny DeVito,Matilda,1944-11-17
76,nm0000138,2012-08-21,2012-08-21,,Leonardo DiCaprio,Inception,1974-11-11
77,nm0000139,2012-08-21,2012-08-21,,Cameron Diaz,Vanilla Sky,1972-08-30
78,nm0004874,2012-08-21,2012-08-21,,Vin Diesel,Guardians of the Galaxy,1967-07-18
79,nm0000140,2012-08-21,2012-08-21,,Michael Douglas,Wall Street,1944-09-25
80,nm0000375,2012-08-21,2012-08-21,,Robert Downey Jr.,Iron Man,1965-04-04
