Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm1569276,2018-07-27,2018-07-27,,Chadwick Boseman,Black Panther,1977-11-29
2,nm5052065,2018-07-27,2018-07-27,,Ansel Elgort,The Fault in Our Stars,1994-03-14
3,nm0004747,2018-07-27,2018-07-27,,Wes Bentley,American Beauty,1978-09-04
4,nm0252230,2018-07-27,2018-07-27,,Chiwetel Ejiofor,12 Years a Slave,1977-07-10
5,nm0881631,2018-07-27,2018-07-27,,Karl Urban,Star Trek,1972-06-07
6,nm1429380,2018-07-27,2018-07-27,,Britt Robertson,Tomorrowland,1990-04-18
7,nm3229685,2018-07-27,2018-07-27,,Kit Harington,Game of Thrones,1986-12-26
8,nm0035514,2018-07-27,2018-07-27,,Richard Armitage,The Hobbit: An Unexpected Journey,1971-08-22
9,nm0790688,2018-07-27,2018-07-27,,Michael Sheen,Masters of Sex,1969-02-05
10,nm0182666,2018-07-27,2018-07-27,,Nikolaj Coster-Waldau,Game of Thrones,1970-07-27
11,nm0318821,2018-07-27,2018-07-27,,Aidan Gillen,Game of Thrones,1968-04-24
12,nm0589505,2018-07-27,2018-07-27,,Wentworth Miller,Prison Break,1972-06-02
13,nm2254074,2018-07-27,2018-07-27,,Bella Thorne,The Duff,1997-10-08
14,nm3485845,2018-07-27,2018-07-27,,Adam Driver,Star Wars: Episode VII - The Force Awakens,1983-11-19
15,nm6663708,2018-07-27,2018-07-27,,Madelaine Petsch,Riverdale,
16,nm0372176,2018-07-27,2018-07-27,,Lena Headey,300,1973-10-03
17,nm0164809,2018-07-27,2018-07-27,,Jason Clarke,Zero Dark Thirty,1969-07-17
18,nm1195855,2018-07-27,2018-07-27,,Lee Pace,Guardians of the Galaxy,1979-03-25
19,nm0885840,2018-07-27,2018-07-27,,Emily VanCamp,Revenge,1986-05-12
20,nm0005023,2018-07-27,2018-07-27,,Djimon Hounsou,Blood Diamond,1964-04-24
21,nm1275259,2018-07-27,2018-07-27,,Alexandra Daddario,Baywatch,1986-03-16
22,nm3586035,2018-07-27,2018-07-27,,Maisie Williams,Game of Thrones,1997-04-15
23,nm3729225,2018-07-31,2018-07-31,,Gwendoline Christie,Game of Thrones,1978-10-28
24,nm1431940,2018-07-31,2018-07-31,,Evangeline Lilly,Ant-Man,1979-08-03
25,nm0010075,2018-07-31,2018-07-31,,Jensen Ackles,Supernatural,1978-03-01
26,nm2394794,2018-07-31,2018-07-31,,Karen Gillan,Selfie,1987-11-28
27,nm1754059,2018-07-31,2018-07-31,,Natalie Dormer,Game of Thrones,1982-02-11
28,nm1107001,2018-07-31,2018-07-31,,Anthony Mackie,The Hurt Locker,1978-09-23
29,nm0597388,2018-07-31,2018-07-31,,Jason Momoa,Aquaman,1979-08-01
30,nm0819850,2018-07-31,2018-07-31,,Cole Sprouse,Riverdale,1992-08-04
31,nm1659221,2018-07-31,2018-07-31,,Sebastian Stan,Captain America: Civil War,1982-08-13
32,nm0647634,2018-07-31,2018-07-31,,Elizabeth Olsen,Martha Marcy May Marlene,1989-02-16
33,nm2955013,2018-07-31,2018-07-31,,Liam Hemsworth,The Hunger Games,1990-01-13
34,nm0636426,2018-07-31,2018-07-31,,Noomi Rapace,Män som hatar kvinnor,1979-12-28
35,nm1416215,2018-07-31,2018-07-31,,Demi Lovato,Camp Rock,1992-08-20
36,nm1411125,2018-07-31,2018-07-31,,Selena Gomez,Monte Carlo,1992-07-22
37,nm0933940,2018-07-31,2018-07-31,,Patrick Wilson,The Phantom of the Opera,1973-07-03
38,nm1854386,2018-07-31,2018-07-31,,Stephen Amell,Arrow,1981-05-08
39,nm2560043,2018-07-31,2018-07-31,,Adelaide Kane,The Purge,1990-08-09
40,nm1982510,2018-07-31,2018-07-31,,Jenna Coleman,Victoria,1986-04-27
41,nm5473782,2018-08-01,2018-08-01,,Taron Egerton,Rocketman,1989-11-10
42,nm0001326,2018-08-01,2018-08-01,,Josh Hartnett,Lucky Number Slevin,1978-07-21
43,nm0000609,2018-08-01,2018-08-01,,Ving Rhames,Pulp Fiction,1959-05-12
44,nm3915784,2018-08-01,2018-08-01,,John Boyega,Star Wars: Episode VII - The Force Awakens,1992-03-17
45,nm5397459,2018-08-01,2018-08-01,,Daisy Ridley,Star Wars: Episode VII - The Force Awakens,1992-04-10
46,nm0279545,2018-08-01,2018-08-01,,Isla Fisher,Wedding Crashers,1976-02-03
47,nm0005188,2018-08-01,2018-08-01,,James Marsden,Hairspray,1973-09-18
48,nm4141252,2018-08-01,2018-08-01,,Lily James,Cinderella,1989-04-05
49,nm1551130,2018-08-01,2018-08-01,,Keke Palmer,Hustlers,1993-08-26
50,nm0001264,2018-08-01,2018-08-01,,Sarah Michelle Gellar,Buffy the Vampire Slayer,1977-04-14
51,nm3729721,2018-08-01,2018-08-01,,Dylan O'Brien,Teen Wolf,1991-08-26
52,nm2645189,2018-08-01,2018-08-01,,Shelley Hennig,Unfriended,1987-01-02
53,nm0334441,2018-08-01,2018-08-01,,Holliday Grainger,Cinderella,1988-03-27
54,nm1555699,2018-08-01,2018-08-01,,Holland Roden,Teen Wolf,1986-10-07
55,nm0891786,2018-08-01,2018-08-01,,Alexa PenaVega,Spy Kids 2: Island of Lost Dreams,1988-08-27
56,nm1658935,2018-08-01,2018-08-01,,Jack Huston,Kill Your Darlings,1982-12-07
57,nm0396558,2018-08-01,2018-08-01,,Nicholas Hoult,Mad Max: Fury Road,1989-12-07
58,nm0544718,2018-08-01,2018-08-01,,Kate Mara,Fantastic Four,1983-02-27
59,nm2913275,2018-08-01,2018-08-01,,Debby Ryan,Insatiable,1993-05-13
60,nm0004936,2018-08-01,2018-08-01,,Ben Foster,Hell or High Water,1980-10-29
61,nm0001349,2018-08-03,2018-08-03,,Jennifer Love Hewitt,I Know What You Did Last Summer,1979-02-21
62,nm0002127,2018-08-03,2018-08-03,,Mariska Hargitay,Law & Order: Special Victims Unit,1964-01-23
63,nm0601553,2018-08-03,2018-08-03,,Mandy Moore,A Walk to Remember,1984-04-10
64,nm1377375,2018-08-03,2018-08-03,,Rachel Bilson,Jumper,1981-08-25
65,nm0731075,2018-08-03,2018-08-03,,Emma Roberts,We're the Millers,1991-02-10
66,nm0221046,2018-08-03,2018-08-03,,Zooey Deschanel,New Girl,1980-01-17
67,nm0765597,2018-08-03,2018-08-03,,Peter Sarsgaard,Shattered Glass,1971-03-07
68,nm2851530,2018-08-03,2018-08-03,,Dane DeHaan,Chronicle,1986-02-06
69,nm0005177,2018-08-03,2018-08-03,,Howie Mandel,Bobby's World,1955-11-29
70,nm0001387,2018-08-03,2018-08-03,,Kathy Ireland,Loaded Weapon 1,1963-03-20
71,nm0000170,2018-08-03,2018-08-03,,Milla Jovovich,The Fifth Element,1975-12-17
72,nm0088127,2018-08-03,2018-08-03,,Alexis Bledel,Gilmore Girls,1981-09-16
73,nm1556320,2018-08-03,2018-08-03,,Katie Cassidy,A Nightmare on Elm Street,1986-11-25
74,nm1192254,2018-08-03,2018-08-03,,Maggie Grace,Taken,1983-09-21
75,nm0193846,2018-08-03,2018-08-03,,Elisha Cuthbert,The Girl Next Door,1982-11-30
76,nm1017334,2018-08-03,2018-08-03,,Juno Temple,Atonement,1989-07-21
77,nm5353321,2018-08-03,2018-08-03,,Cara Delevingne,Suicide Squad,1992-08-12
78,nm2255973,2018-08-03,2018-08-03,,Donald Glover,Solo: A Star Wars Story,1983-09-25
79,nm1782299,2018-08-03,2018-08-03,,Imogen Poots,Green Room,1989-06-03
80,nm0993507,2018-08-03,2018-08-03,,Kat Dennings,Nick and Norah's Infinite Playlist,1986-06-13
81,nm1935086,2018-08-03,2018-08-03,,Tessa Thompson,Creed,1983-10-03
82,nm0000299,2018-08-03,2018-08-03,,Michael Biehn,Aliens,1956-07-31
83,nm0000867,2018-08-03,2018-08-03,,Jason Bateman,Arrested Development,1969-01-14
84,nm1411676,2018-08-03,2018-08-03,,Mindy Kaling,The Office,1979-06-24
85,nm0002907,2018-08-03,2018-08-03,,Alexander Skarsgård,True Blood,1976-08-25
86,nm1102577,2018-08-03,2018-08-03,,Elle Fanning,Super 8,1998-04-09
87,nm2368789,2018-08-03,2018-08-03,,Zoë Kravitz,Mad Max: Fury Road,1988-12-01
88,nm1847117,2018-08-03,2018-08-03,,Janelle Monáe,Hidden Figures,1985-12-01
89,nm0000630,2018-08-03,2018-08-03,,Liev Schreiber,Spotlight,1967-10-04
90,nm1500155,2018-08-03,2018-08-03,,Robert Pattinson,Twilight,1986-05-13
91,nm0316079,2018-08-03,2018-08-03,,Paul Giamatti,Sideways,1967-06-06
92,nm0659363,2018-08-03,2018-08-03,,Hayden Panettiere,Heroes,1989-08-21
93,nm1913734,2018-08-03,2018-08-03,,Rooney Mara,Carol,1985-04-17
94,nm0001786,2018-08-03,2018-08-03,,George Takei,Star Trek,1937-04-20
95,nm0000463,2018-08-03,2018-08-03,,Famke Janssen,X-Men: The Last Stand,1964-11-05
96,nm0001172,2018-08-03,2018-08-03,,Christopher Eccleston,Doctor Who,1964-02-16
97,nm0428065,2018-08-03,2018-08-03,,Felicity Jones,Rogue One,1983-10-17
98,nm0000884,2018-08-03,2018-08-03,,Jennifer Beals,Flashdance,1963-12-19
99,nm0829576,2018-08-03,2018-08-03,,Kristen Stewart,Snow White and the Huntsman,1990-04-09
100,nm1736769,2018-08-03,2018-08-03,,Ariel Winter,Sofia the First,1998-01-28
101,nm0001287,2018-08-03,2018-08-03,,Heather Graham,Austin Powers: The Spy Who Shagged Me,1970-01-29
102,nm0000246,2018-08-07,2018-08-07,,Bruce Willis,Die Hard,1955-03-19
103,nm0124930,2018-08-07,2018-08-07,,Gerard Butler,300,1969-11-13
104,nm0000648,2018-08-07,2018-08-07,,Wesley Snipes,Blade,1962-07-31
105,nm0001337,2018-08-07,2018-08-07,,Katherine Heigl,One for the Money,1978-11-24
106,nm1455681,2018-08-07,2018-08-07,,AnnaSophia Robb,Bridge to Terabithia,1993-12-08
107,nm0005517,2018-08-07,2018-08-07,,Gabrielle Union,Bring It On,1972-10-29
108,nm2635467,2018-08-07,2018-08-07,,The Jonas Brothers,Aquamarine,
109,nm6574838,2018-08-07,2018-08-07,,Meghan Trainor,The Peanuts Movie,1993-12-22
110,nm1667364,2018-08-07,2018-08-07,,Ashley Benson,Spring Breakers,1989-12-18
111,nm0515116,2018-08-07,2018-08-07,,Blake Lively,Gossip Girl,1987-08-25
112,nm0000409,2018-08-07,2018-08-07,,Brendan Fraser,The Mummy,1968-12-03
113,nm0001349,2018-08-07,2018-08-07,,Jennifer Love Hewitt,I Know What You Did Last Summer,1979-02-21
114,nm0000159,2018-08-07,2018-08-07,,Teri Hatcher,Tomorrow Never Dies,1964-12-08
115,nm0005430,2018-08-07,2018-08-07,,Gene Simmons,Extract,1949-08-25
116,nm1512166,2018-08-07,2018-08-07,,Jamie Chung,Big Hero 6,1983-04-10
117,nm3614913,2018-08-07,2018-08-07,,Zoey Deutch,Set It Up,1994-11-10
118,nm0788335,2018-08-07,2018-08-07,,Michael Shannon,The Shape of Water,1974-08-07
119,nm1745736,2018-08-07,2018-08-07,,Paula Patton,Mission: Impossible - Ghost Protocol,1975-12-05
120,nm0005099,2018-08-07,2018-08-07,,Heidi Klum,Project Runway,1973-06-01
121,nm0811242,2018-08-07,2018-08-07,,Brittany Snow,Pitch Perfect,1986-03-09
122,nm1113550,2018-08-07,2018-08-07,,Abigail Breslin,Little Miss Sunshine,1996-04-14
123,nm1242688,2018-08-08,2018-08-08,,Josh Hutcherson,The Hunger Games,1992-10-12
124,nm3812858,2018-08-08,2018-08-08,,Ariana Grande,Sam & Cat,1993-06-26
125,nm1631269,2018-08-08,2018-08-08,,Chloë Grace Moretz,Let Me In,1997-02-10
126,nm1006024,2018-08-08,2018-08-08,,Alicia Keys,The Secret Life of Bees,1981-01-25
127,nm0132257,2018-08-08,2018-08-08,,Bruce Campbell,Bubba Ho-Tep,1958-06-22
128,nm0996669,2018-08-08,2018-08-08,,Common,Wanted,1972-03-13
129,nm0266824,2018-08-08,2018-08-08,,Dakota Fanning,War of the Worlds,1994-02-23
130,nm0004695,2018-08-08,2018-08-08,,Jessica Alba,Fantastic Four,1981-04-28
131,nm0000192,2018-08-08,2018-08-08,,Alyssa Milano,Charmed,1972-12-19
132,nm0005110,2018-08-08,2018-08-08,,Ashton Kutcher,That '70s Show,1978-02-07
133,nm0240381,2018-08-08,2018-08-08,,Hilary Duff,A Cinderella Story,1987-09-28
134,nm0002101,2018-08-08,2018-08-08,,Robin Givens,Boomerang,1964-11-27
135,nm0000563,2018-08-08,2018-08-08,,Chris O'Donnell,Batman & Robin,1970-06-26
136,nm0000321,2018-08-17,2018-08-17,,Gabriel Byrne,The Usual Suspects,1950-05-12
137,nm0006669,2018-08-17,2018-08-17,,William Sadler,Bill & Ted's Bogus Journey,1950-04-13
138,nm0586568,2018-08-17,2018-08-17,,Mads Mikkelsen,Hannibal,1965-11-22
139,nm0202966,2018-08-17,2018-08-17,,Keith David,The Princess and the Frog,1956-06-04
140,nm0000317,2018-08-17,2018-08-17,,Clancy Brown,The Shawshank Redemption,1959-01-05
141,nm0628325,2018-08-17,2018-08-17,,Julie Newmar,Ghosts Can't Do It,1933-08-16
142,nm0001056,2018-08-17,2018-08-17,,Dabney Coleman,WarGames,1932-01-03
143,nm0001806,2018-08-17,2018-08-17,,John Turturro,Barton Fink,1957-02-28
144,nm0001556,2018-08-17,2018-08-17,,David Morse,The Green Mile,1953-10-11
145,nm0000653,2018-08-17,2018-08-17,,Brent Spiner,Star Trek: First Contact,1949-02-02
146,nm0000119,2018-08-17,2018-08-17,,Tia Carrere,Wayne's World,1967-01-02
147,nm0000193,2018-08-17,2018-08-17,,Demi Moore,G.I. Jane,1962-11-11
148,nm0004051,2018-08-17,2018-08-17,,Brian Cox,X2,1946-06-01
149,nm0000153,2018-08-17,2018-08-17,,Gina Gershon,Bound,1962-06-10
150,nm0505971,2018-08-17,2018-08-17,,Ted Levine,The Silence of the Lambs,1957-05-29
151,nm0000379,2018-08-17,2018-08-17,,Kirsten Dunst,Spider-Man,1982-04-30
152,nm0244630,2018-08-17,2018-08-17,,Eliza Dushku,Bring It On,1980-12-30
153,nm0000612,2018-08-17,2018-08-17,,Denise Richards,The World Is Not Enough,1971-02-17
154,nm0000693,2018-08-17,2018-08-17,,Peter Weller,RoboCop,1947-06-24
155,nm0000295,2018-08-17,2018-08-17,,Kate Beckinsale,Underworld: Evolution,1973-07-26
156,nm0000133,2018-08-17,2018-08-17,,Geena Davis,Thelma & Louise,1956-01-21
157,nm0000421,2018-08-17,2018-08-17,,Cuba Gooding Jr.,Jerry Maguire,1968-01-02
158,nm0005466,2018-08-17,2018-08-17,,Julia Stiles,10 Things I Hate About You,1981-03-28
159,nm0001604,2018-08-17,2018-08-17,,Nia Peeples,Pretty Little Liars,1961-12-10
160,nm0000530,2018-08-17,2018-08-17,,Andrew McCarthy,Orange Is the New Black,1962-11-29
161,nm0001433,2018-08-17,2018-08-17,,Yaphet Kotto,Alien,1939-11-15
162,nm0000174,2018-08-17,2018-08-17,,Val Kilmer,Kiss Kiss Bang Bang,1959-12-31
163,nm0000639,2018-08-17,2018-08-17,,Ally Sheedy,The Breakfast Club,1962-06-13
164,nm0001326,2018-08-17,2018-08-17,,Josh Hartnett,Lucky Number Slevin,1978-07-21
165,nm0000145,2018-08-17,2018-08-17,,Sherilyn Fenn,Wild at Heart,1965-02-01
