"","original_title.x","id","Actor","Director","budget.x","X1st.genre","genres","X1st.production.company","runtime.x","ProductionBudget","DomesticGross","release_date.x"
"1","the brothers",20322,"<U+043C><U+043E><U+0440><U+0440><U+0438><U+0441> <U+0447><U+0435><U+0441><U+0442><U+043D><U+0430><U+0442>","gary hardwick",0,"comedy","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",NA,106,6e+06,27457409,"2001-03-23"
"2","not easily broken",14834,"<U+043C><U+043E><U+0440><U+0440><U+0438><U+0441> <U+0447><U+0435><U+0441><U+0442><U+043D><U+0430><U+0442>","bill duke",0,"drama","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",NA,99,5e+06,10572742,"2009-01-09"
"3","they will have to kill us first",324322,"1667099","johanna schwartz",522360,"music","[{'id': 10402, 'name': 'Music'}, {'id': 99, 'name': 'Documentary'}]","Spring Films",105,6e+05,0,"2015-10-13"
"4","son of god",235260,"173150","christopher spencer",22000000,"drama","[{'id': 18, 'name': 'Drama'}]","Hearst Entertainment Productions",138,2.2e+07,59700064,"2014-02-28"
"5","songcatcher",62677,"47627","maggie greenwald",0,"drama","[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]","Rigas Entertainment",109,1800000,3050934,"2001-03-01"
"6","incarnate",241258,"aaron eckhart","brad peyton",5000000,"horror","[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]","Blumhouse Productions",91,5e+06,4799774,"2016-12-01"
"7","the core",9341,"aaron eckhart","jon amiel",60000000,"action","[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]","Paramount Pictures",136,8.5e+07,31111260,"2003-03-28"
"8","kick ass 2",59859,"aaron taylor johnson","jeff wadlow",28000000,"action","[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}]","Universal Pictures",103,2.8e+07,28795985,"2013-07-17"
"9","the wall",405775,"aaron taylor johnson","doug liman",0,"drama","[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 10752, 'name': 'War'}]","Big Indie Pictures",89,3e+06,1803064,"2017-05-12"
"10","dum maaro dum",63006,"abhishek bachchan","rohan sippy",0,"drama","[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 10769, 'name': 'Foreign'}]",NA,130,5200000,564489,"2011-04-22"
