"","Name","Rank","FirstName","LastName"
"1","amyadams",1,"Amy","Adams"
"2","benaffleck",1,"Ben","Affleck"
"3","malinakerman",1,"Malin","Akerman"
"4","jessicaalba",1,"Jessica","Alba"
"5","timallen",1,"Tim","Allen"
"6","kirstiealley",1,"Kirstie","Alley"
"7","julieandrews",1,"Julie","Andrews"
"8","jenniferaniston",1,"Jennifer","Aniston"
"9","seanastin",1,"Sean","Astin"
"10","danaykroyd",1,"Dan","Aykroyd"
"11","kevinbacon",1,"Kevin","Bacon"
"12","alecbaldwin",1,"Alec","Baldwin"
"13","christianbale",1,"Christian","Bale"
"14","ericbana",1,"Eric","Bana"
"15","antoniobanderas",1,"Antonio","Banderas"
"16","elizabethbanks",1,"Elizabeth","Banks"
"17","drewbarrymore",1,"Drew","Barrymore"
"18","kimbasinger",1,"Kim","Basinger"
"19","angelabassett",1,"Angela","Bassett"
"20","kathybates",1,"Kathy","Bates"
"21","seanbean",1,"Sean","Bean"
"22","katebeckinsale",1,"Kate","Beckinsale"
"23","kristenbell",1,"Kristen","Bell"
"24","camillabelle",1,"Camilla","Belle"
"25","mariabello",1,"Maria","Bello"
"26","monicabellucci",1,"Monica","Bellucci"
"27","halleberry",1,"Halle","Berry"
"28","annettebening",1,"Annette","Bening"
"29","jessicabiel",1,"Jessica","Biel"
"30","jackblack",1,"Jack","Black"
"31","selmablair",1,"Selma","Blair"
"32","cateblanchett",1,"Cate","Blanchett"
"33","orlandobloom",1,"Orlando","Bloom"
"34","sandrabullock",1,"Sandra","Bullock"
"35","stevebuscemi",1,"Steve","Buscemi"
"36","gabrielbyrne",1,"Gabriel","Byrne"
"37","rosebyrne",1,"Rose","Byrne"
"38","helenabonham carter",1,"Helena","Bonham Carter"
"39","benjaminbratt",1,"Benjamin","Bratt"
"40","matthewbroderick",1,"Matthew","Broderick"
"41","piercebrosnan",1,"Pierce","Brosnan"
"42","nicolascage",1,"Nicolas","Cage"
"43","michaelcaine",1,"Michael","Caine"
"44","nevecampbell",1,"Neve","Campbell"
"45","tiacarrere",1,"Tia","Carrere"
"46","jimcarrey",1,"Jim","Carrey"
"47","stevecarell",1,"Steve","Carell"
"48","jackiechan",1,"Jackie","Chan"
"49","doncheadle",1,"Don","Cheadle"
"50","michaelclarke duncan",1,"Michael","Clarke Duncan"
"51","georgeclooney",1,"George","Clooney"
"52","glennclose",1,"Glenn","Close"
"53","jenniferconnelly",1,"Jennifer","Connelly"
"54","seanconnery",1,"Sean","Connery"
"55","kevincostner",1,"Kevin","Costner"
"56","courteneycox",1,"Courteney","Cox"
"57","danielcraig",1,"Daniel","Craig"
"58","davidcross",1,"David","Cross"
"59","russellcrowe",1,"Russell","Crowe"
"60","tomcruise",1,"Tom","Cruise"
"61","penélopecruz",1,"Penélope","Cruz"
"62","macaulayculkin",1,"Macaulay","Culkin"
"63","joancusack",1,"Joan","Cusack"
"64","johncusack",1,"John","Cusack"
"65","elishacuthbert",1,"Elisha","Cuthbert"
"66","willemdafoe",1,"Willem","Dafoe"
"67","mattdamon",1,"Matt","Damon"
"68","jeffdaniels",1,"Jeff","Daniels"
"69","geenadavis",1,"Geena","Davis"
"70","robertde niro",1,"Robert","De Niro"
"71","billydee williams",1,"Billy","Dee Williams"
"72","judidench",1,"Judi","Dench"
"73","johnnydepp",1,"Johnny","Depp"
"74","lauradern",1,"Laura","Dern"
"75","dannydevito",1,"Danny","DeVito"
"76","leonardodicaprio",1,"Leonardo","DiCaprio"
"77","camerondiaz",1,"Cameron","Diaz"
"78","vindiesel",1,"Vin","Diesel"
"79","michaeldouglas",1,"Michael","Douglas"
"80","robertdowney jr.",1,"Robert","Downey Jr."
"81","richarddreyfuss",1,"Richard","Dreyfuss"
"82","kirstendunst",1,"Kirsten","Dunst"
"83","jamesearl jones",1,"James","Earl Jones"
"84","clinteastwood",1,"Clint","Eastwood"
"85","carmenelectra",1,"Carmen","Electra"
"86","shannonelizabeth",1,"Shannon","Elizabeth"
