"","id","budget","1st genre","original_title","1st production company","release_date","revenue","runtime"
"708","131232","0","drama","due amici",NA,2002-03-20,0,86
"NA",NA,NA,NA,NA,NA,NA,NA,NA
"NA.1",NA,NA,NA,NA,NA,NA,NA,NA
"869","79782","0","drama","wenecja",NA,2010-05-25,0,110
"1082","141210","0","comedy","the sleepover",NA,2013-10-12,0,6
"2115","143750","0","drama","the farmer's wife",NA,2012-06-20,0,18
"2565","84198","0","documentary","a place at the table",NA,2012-03-22,0,84
"2655","19457","0","drama","the yards","miramax films",2000-04-27,0,115
"2779","171982","0","romance","romance",NA,2012-10-09,0,27
"3061","10471","11000000","comedy","next friday","new line cinema",2000-01-12,59827328,98
"3072","41276","0","documentary","the life and times of hank greenberg",NA,2000-01-12,0,90
"3073","17908","7000000","comedy","my dog skip","alcon entertainment",2000-01-14,0,95
"3074","10384","90000000","horror","supernova","united artists",2000-01-14,14828081,91
"3108","10472","9000000","comedy","down to you","miramax films",2000-01-21,0,91
"3109","123277","0","music","hellhounds on my trail: the afterlife of robert johnson",NA,2000-02-28,0,0
"3111","97805","0",NA,"wirey spindell",NA,2000-01-21,0,0
"3122","75531","36000000","drama","isn't she great","universal pictures",2000-01-28,3003296,95
"3156","4234","40000000","horror","scream 3","konrad pictures",2000-02-03,161834276,116
"3159","29076","10000000","action","gun shy","hollywood pictures",2000-02-04,1631839,101
"3162","121940","0","drama","knockout","dmg entertainment",2000-02-04,0,99
"3168","1907","40000000","drama","the beach","figment films",2000-02-11,144056873,119
"3169","15489","0","comedy","snow day","paramount pictures",2000-02-11,0,89
"3170","15655","30000000","animation","the tigger movie","walt disney pictures",2000-02-11,45554533,77
"3174","77908","200000","drama","trois","rainforest films",2000-02-11,1160268,93
"3181","14181","26000000","crime","boiler room","new line cinema",2000-02-18,28780255,118
"3182","10385","40000000","comedy","hanging up","laurence mark productions",2000-02-16,36037909,94
"3183","2787","23000000","thriller","pitch black","interscope communications",2000-02-18,53187659,108
"3184","2069","41300000","comedy","the whole nine yards","franchise pictures",2000-02-18,106371651,98
"3186","79515","0","documentary","black tar heroin: the dark end of the street",NA,2000-03-17,0,75
"3199","2155","42000000","thriller","reindeer games","dimension films",2000-02-25,32168970,124
"3200","11004","35000000","comedy","wonder boys","paramount pictures",2000-02-22,0,111
"3201","25212","0","action","deterrence","battleplan productions",2000-03-10,0,101
"3205","47816","6000000","action","3 strikes",NA,2000-03-01,9e+06,82
"3206","20682","20000000","action","chain of fools","bel air entertainment",2000-09-22,0,96
"3207","25166","16000000","comedy","drowning mona","code entertainment",2000-03-03,15427192,96
"3208","1831","25000000","comedy","the next best thing","paramount pictures",2000-03-03,24362772,108
"3209","10416","60000000","comedy","what planet are you from?","columbia pictures",2000-03-03,0,105
"3236","73642","0","comedy","the closer you get",NA,2000-12-27,0,93
"3237","2067","90000000","science fiction","mission to mars","spyglass entertainment",2000-03-10,60874615,114
"3239","110666","0","documentary","condo painting",NA,2000-03-17,0,0
