"","id","budget","1st genre","original_title","1st production company","release_date","revenue","runtime","cleaned title"
"708","131232","0","drama","due amici",NA,2002-03-20,0,86,"dueamici"
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"869","79782","0","drama","wenecja",NA,2010-05-25,0,110,"wenecja"
"1082","141210","0","comedy","the sleepover",NA,2013-10-12,0,6,"thesleepover"
"2115","143750","0","drama","the farmer s wife",NA,2012-06-20,0,18,"thefarmerswife"
"2565","84198","0","documentary","a place at the table",NA,2012-03-22,0,84,"aplaceatthetable"
"2655","19457","0","drama","the yards","Miramax Films",2000-04-27,0,115,"theyards"
"2779","171982","0","romance","romance",NA,2012-10-09,0,27,"romance"
"3061","10471","11000000","comedy","next friday","New Line Cinema",2000-01-12,59827328,98,"nextfriday"
"3072","41276","0","documentary","the life and times of hank greenberg",NA,2000-01-12,0,90,"thelifeandtimesofhankgreenberg"
"3073","17908","7000000","comedy","my dog skip","Alcon Entertainment",2000-01-14,0,95,"mydogskip"
"3074","10384","90000000","horror","supernova","United Artists",2000-01-14,14828081,91,"supernova"
"3108","10472","9000000","comedy","down to you","Miramax Films",2000-01-21,0,91,"downtoyou"
"3109","123277","0","music","hellhounds on my trail the afterlife of robert johnson",NA,2000-02-28,0,0,"hellhoundsonmytrailtheafterlifeofrobertjohnson"
"3111","97805","0",NA,"wirey spindell",NA,2000-01-21,0,0,"wireyspindell"
"3122","75531","36000000","drama","isn t she great","Universal Pictures",2000-01-28,3003296,95,"isntshegreat"
"3156","4234","40000000","horror","scream 3","Konrad Pictures",2000-02-03,161834276,116,"scream3"
"3159","29076","10000000","action","gun shy","Hollywood Pictures",2000-02-04,1631839,101,"gunshy"
"3162","121940","0","drama","knockout","DMG Entertainment",2000-02-04,0,99,"knockout"
"3168","1907","40000000","drama","the beach","Figment Films",2000-02-11,144056873,119,"thebeach"
"3169","15489","0","comedy","snow day","Paramount Pictures",2000-02-11,0,89,"snowday"
"3170","15655","30000000","animation","the tigger movie","Walt Disney Pictures",2000-02-11,45554533,77,"thetiggermovie"
"3174","77908","200000","drama","trois","Rainforest Films",2000-02-11,1160268,93,"trois"
"3181","14181","26000000","crime","boiler room","New Line Cinema",2000-02-18,28780255,118,"boilerroom"
"3182","10385","40000000","comedy","hanging up","Laurence Mark Productions",2000-02-16,36037909,94,"hangingup"
"3183","2787","23000000","thriller","pitch black","Interscope Communications",2000-02-18,53187659,108,"pitchblack"
"3184","2069","41300000","comedy","the whole nine yards","Franchise Pictures",2000-02-18,106371651,98,"thewholenineyards"
"3186","79515","0","documentary","black tar heroin the dark end of the street",NA,2000-03-17,0,75,"blacktarherointhedarkendofthestreet"
"3199","2155","42000000","thriller","reindeer games","Dimension Films",2000-02-25,32168970,124,"reindeergames"
"3200","11004","35000000","comedy","wonder boys","Paramount Pictures",2000-02-22,0,111,"wonderboys"
"3201","25212","0","action","deterrence","Battleplan Productions",2000-03-10,0,101,"deterrence"
"3205","47816","6000000","action","3 strikes",NA,2000-03-01,9e+06,82,"3strikes"
"3206","20682","20000000","action","chain of fools","Bel Air Entertainment",2000-09-22,0,96,"chainoffools"
"3207","25166","16000000","comedy","drowning mona","Code Entertainment",2000-03-03,15427192,96,"drowningmona"
"3208","1831","25000000","comedy","the next best thing","Paramount Pictures",2000-03-03,24362772,108,"thenextbestthing"
"3209","10416","60000000","comedy","what planet are you from ","Columbia Pictures",2000-03-03,0,105,"whatplanetareyoufrom"
"3236","73642","0","comedy","the closer you get",NA,2000-12-27,0,93,"thecloseryouget"
"3237","2067","90000000","science fiction","mission to mars","Spyglass Entertainment",2000-03-10,60874615,114,"missiontomars"
"3239","110666","0","documentary","condo painting",NA,2000-03-17,0,0,"condopainting"
"3290","462","52000000","drama","erin brockovich","Jersey Films",2000-03-17,256271286,131,"erinbrockovich"
"3291","9532","23000000","horror","final destination","New Line Cinema",2000-03-16,53302314,98,"finaldestination"
"3333","2085","25000000","action","romeo must die","Silver Pictures",2000-03-20,91036760,115,"romeomustdie"
"3334","13539","0","romance","here on earth","Fox 2000 Pictures",2000-03-23,0,96,"hereonearth"
"3335","16222","15000000","drama","whatever it takes","Columbia Pictures Corporation",2000-03-31,9902115,94,"whateverittakes"
"3338","37722","8500000","drama","waking the dead","Egg Pictures",2000-03-23,327418,105,"wakingthedead"
"3362","243","30000000","comedy","high fidelity","Buena Vista",2000-03-17,47126295,113,"highfidelity"
"3363","10501","95000000","adventure","the road to el dorado","DreamWorks SKG",2000-03-31,76432727,89,"theroadtoeldorado"
"3364","11478","15000000","crime","the skulls","Universal Pictures",2000-03-31,35007180,106,"theskulls"
"3390","10559","31000000","crime","frequency","New Line Cinema",2000-04-28,68106245,118,"frequency"
"3391","20697","24000000","action","ready to rumble","Bel Air Entertainment",2000-04-07,12372410,107,"readytorumble"
"3392","2621","24000000","romance","return to me","Metro-Goldwyn-Mayer (MGM)",2000-04-07,36609995,115,"returntome"
"3393","10479","60000000","action","rules of engagement","Paramount Pictures",2000-04-07,7.1e+07,128,"rulesofengagement"
"3394","125709","0","drama","joe gould s secret",NA,2000-01-21,0,104,"joegouldssecret"
"3395","49721","0","comedy","me myself i","Gaumont",2000-04-20,369975,104,"memyselfi"
"3413","10468","43000000","comedy","28 days","Columbia Pictures",2000-04-06,0,103,"28days"
"3414","1359","7000000","thriller","american psycho","Lions Gate Films",2000-04-13,34266564,102,"americanpsycho"
"3415","4967","30000000","comedy","keeping the faith","Spyglass Entertainment",2000-04-14,37036004,127,"keepingthefaith"
"3416","31776","0","comedy","where the money is","Gramercy Pictures",2000-04-14,0,89,"wherethemoneyis"
"3418","27745","0","documentary","the filth and the fury","Film4",2000-03-29,0,108,"thefilthandthefury"
"3419","19214","0","drama","passion of mind",NA,2000-01-07,0,105,"passionofmind"
"3432","18041","14000000","drama","gossip","Village Roadshow Pictures",2000-04-21,5108820,90,"gossip"
"3433","14736","20000000","action","love basketball","40 Acres & A Mule Filmworks",2000-04-21,27728118,124,"lovebasketball"
"3434","3536","62000000","action","u 571","Universal Pictures",2000-04-20,127666415,116,"u571"
"3441","40562","3000000","comedy","committed","Miramax Films",2000-01-21,0,98,"committed"
"3442","9456","10000000","action","the crow salvation","Jeff Most Productions",2000-10-31,0,102,"thecrowsalvation"
"3443","889","83000000","science fiction","the flintstones in viva rock vegas","Universal Pictures",2000-04-28,59468275,90,"theflintstonesinvivarockvegas"
"3444","10564","15000000","comedy","where the heart is","Twentieth Century Fox Film Corporation",2000-04-27,33771174,120,"wheretheheartis"
"3445","15723","7000000","comedy","the big kahuna","Franchise Pictures",2000-04-28,3728888,90,"thebigkahuna"
"3446","19600","0","comedy","bossa nova",NA,2000-01-01,0,95,"bossanova"
"3449","68170","0","drama","the last september",NA,2000-04-28,0,103,"thelastseptember"
"3450","36234","4000000","drama","timecode","Screen Gems",2000-03-22,0,97,"timecode"
"3457","98","103000000","action","gladiator","DreamWorks SKG",2000-05-01,457640427,155,"gladiator"
"3458","21311","34000000","romance","i dreamed of africa","Columbia Pictures",2000-05-05,0,114,"idreamedofafrica"
"3459","47724","0","drama","up at the villa",NA,2000-04-14,0,115,"upatthevilla"
"NA.2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3472","5491","44000000","action","battlefield earth","Franchise Pictures",2000-05-10,21400000,118,"battlefieldearth"
"3473","10560","18000000","drama","center stage","Columbia Pictures",2000-05-12,17200925,115,"centerstage"
"3475","19419","0","action","screwed","Universal Pictures",2000-05-12,0,81,"screwed"
"3476","23531","3000000","comedy","whipped","Hi-Rez Films",2000-09-01,0,82,"whipped"
"3477","10688","2000000","drama","hamlet","Miramax Films",2000-05-12,1568749,112,"hamlet"
"3494","10567","127500000","animation","dinosaur","Walt Disney Pictures",2000-05-19,354248063,82,"dinosaur"
"3495","10642","0","drama","loser","Columbia Pictures",2000-07-21,0,98,"loser"
"3496","9285","16000000","comedy","road trip","DreamWorks SKG",2000-05-19,119754278,93,"roadtrip"
"3497","10569","0","action","small time crooks","DreamWorks SKG",2000-05-19,0,94,"smalltimecrooks"
"3502","955","125000000","adventure","mission impossible ii","Paramount Pictures",2000-05-24,546388105,123,"missionimpossibleii"
"3503","8584","55000000","adventure","shanghai noon","Spyglass Entertainment",2000-05-26,56932305,110,"shanghainoon"
"3525","9600","30000000","crime","big momma s house","Twentieth Century Fox Film Corporation",2000-05-31,173959438,98,"bigmommashouse"
"3596","9679","90000000","action","gone in sixty seconds","Jerry Bruckheimer Films",2000-06-09,237202299,118,"goneinsixtyseconds"
"3598","51333","13000000","comedy","love s labour s lost","Miramax Films",2000-03-31,299792,93,"loveslabourslost"
"3600","31610","0","action","trixie","Sony Pictures Classics",2000-06-28,0,116,"trixie"
"3601","60005","0","comedy","american virgin",NA,2000-06-02,0,88,"americanvirgin"
"3622","10571","16000000","comedy","boys and girls","Punch 21 Productions",2000-06-16,20627372,94,"boysandgirls"
"3623","479","46000000","action","shaft","Paramount Pictures",2000-06-15,107196498,99,"shaft"
"3624","7450","75000000","animation","titan a e ","Twentieth Century Fox Film Corporation",2000-06-16,36754634,94,"titanae"
"NA.3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3630","7443","45000000","animation","chicken run","DreamWorks SKG",2000-06-21,224834564,84,"chickenrun"
"3631","2123","51000000","comedy","me myself irene","Twentieth Century Fox Film Corporation",2000-06-22,149270999,116,"memyselfirene"
"3632","2024","110000000","drama","the patriot","Centropolis Entertainment",2000-06-28,215294342,165,"thepatriot"
"3633","17711","76000000","action","the adventures of rocky bullwinkle","Universal Pictures",2000-06-30,35134820,88,"theadventuresofrockybullwinkle"
"3634","2133","120000000","drama","the perfect storm","Warner Bros.",2000-03-15,325756637,130,"theperfectstorm"
"3635","29946","15000000","romance","the golden bowl","Merchant Ivory Productions",2000-05-14,0,130,"thegoldenbowl"
"3663","4244","65000000","fantasy","the kid","Walt Disney Pictures",2000-07-07,69700000,104,"thekid"
"3664","4247","19000000","comedy","scary movie","Gold/Miller Productions",2000-07-07,278019771,88,"scarymovie"
"3669","23655","0","drama","groove",NA,2000-06-08,0,86,"groove"
"3672","36657","75000000","adventure","x men","Twentieth Century Fox Film Corporation",2000-07-13,296339527,104,"xmen"
"3673","44490","0","comedy","chuck buck",NA,2000-01-21,0,96,"chuckbuck"
"3676","36047","15000000","thriller","the in crowd","Morgan Creek Productions",2000-07-19,5217498,105,"theincrowd"
"3677","2655","100000000","drama","what lies beneath","DreamWorks SKG",2000-07-21,155464351,130,"whatliesbeneath"
"3698","16110","0","animation","thomas and the magic railroad","Destination Films",2000-07-26,0,85,"thomasandthemagicrailroad"
"3699","12107","84000000","fantasy","nutty professor ii the klumps","Imagine Entertainment",2000-07-27,123307945,106,"nuttyprofessoriitheklumps"
"3702","10641","65000000","drama","autumn in new york","Lakeshore Entertainment",2000-08-11,0,103,"autumninnewyork"
"3703","6282","45000000","comedy","coyote ugly","Jerry Bruckheimer Films",2000-07-30,113916474,100,"coyoteugly"
"3704","9383","95000000","action","hollow man","Columbia Pictures Corporation",2000-08-04,190213455,112,"hollowman"
"3705","5551","65000000","action","space cowboys","Village Roadshow Pictures",2000-07-31,128884132,130,"spacecowboys"
"3707","43079","0","comedy","mad about mambo","Columbia Tristar",2000-04-04,0,92,"madaboutmambo"
"3708","27723","1500000","comedy","psycho beach party","New Oz Productions",2000-08-06,0,95,"psychobeachparty"
"3709","2360","10000000","crime","saving grace","Fine Line Features",2000-01-24,26330482,93,"savinggrace"
"3728","38548","0","comedy","margaret cho i m the one that i want",NA,2000-07-01,0,96,"margaretchoimtheonethatiwant"
