"","id","original_title","genres","release_date","Year","Month","Date","revenue","budget","runtime","drama","thriller","nonfiction","action","amusement","cleaned title"
"708","131232","due amici","[{'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}]",2002-03-20,"2002","03","20",0,"0",86,1,0,0,0,0,"dueamici"
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA
"NA.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA
"869","79782","wenecja","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",2010-05-25,"2010","05","25",0,"0",110,1,0,0,0,0,"wenecja"
"1082","141210","the sleepover","[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]",2013-10-12,"2013","10","12",0,"0",6,0,1,0,0,1,"thesleepover"
"2115","143750","the farmer s wife","[{'id': 18, 'name': 'Drama'}]",2012-06-20,"2012","06","20",0,"0",18,1,0,0,0,0,"thefarmerswife"
"2565","84198","a place at the table","[{'id': 99, 'name': 'Documentary'}]",2012-03-22,"2012","03","22",0,"0",84,0,0,1,0,0,"aplaceatthetable"
"2655","19457","the yards","[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",2000-04-27,"2000","04","27",0,"0",115,1,1,0,1,0,"theyards"
"2779","171982","romance","[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",2012-10-09,"2012","10","09",0,"0",27,1,0,0,0,1,"romance"
"3061","10471","next friday","[{'id': 35, 'name': 'Comedy'}]",2000-01-12,"2000","01","12",59827328,"11000000",98,0,0,0,0,1,"nextfriday"
"3072","41276","the life and times of hank greenberg","[{'id': 99, 'name': 'Documentary'}, {'id': 10751, 'name': 'Family'}]",2000-01-12,"2000","01","12",0,"0",90,0,0,1,0,1,"thelifeandtimesofhankgreenberg"
"3073","17908","my dog skip","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",2000-01-14,"2000","01","14",0,"7000000",95,1,0,0,0,1,"mydogskip"
"3074","10384","supernova","[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",2000-01-14,"2000","01","14",14828081,"90000000",91,0,1,0,0,1,"supernova"
"3108","10472","down to you","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]",2000-01-21,"2000","01","21",0,"9000000",91,1,0,0,0,1,"downtoyou"
"3109","123277","hellhounds on my trail the afterlife of robert johnson","[{'id': 10402, 'name': 'Music'}]",2000-02-28,"2000","02","28",0,"0",0,0,0,1,0,0,"hellhoundsonmytrailtheafterlifeofrobertjohnson"
"3111","97805","wirey spindell","[]",2000-01-21,"2000","01","21",0,"0",0,0,0,0,0,0,"wireyspindell"
"3122","75531","isn t she great","[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",2000-01-28,"2000","01","28",3003296,"36000000",95,1,0,0,0,1,"isntshegreat"
"3156","4234","scream 3","[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",2000-02-03,"2000","02","03",161834276,"40000000",116,1,1,0,0,0,"scream3"
"3159","29076","gun shy","[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]",2000-02-04,"2000","02","04",1631839,"10000000",101,1,1,0,1,1,"gunshy"
"3162","121940","knockout","[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}]",2000-02-04,"2000","02","04",0,"0",99,1,0,0,1,0,"knockout"
"3168","1907","the beach","[{'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]",2000-02-11,"2000","02","11",144056873,"40000000",119,1,1,0,1,1,"thebeach"
"3169","15489","snow day","[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",2000-02-11,"2000","02","11",0,"0",89,0,0,0,0,1,"snowday"
"3170","15655","the tigger movie","[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",2000-02-11,"2000","02","11",45554533,"30000000",77,0,0,0,0,1,"thetiggermovie"
"3174","77908","trois","[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]",2000-02-11,"2000","02","11",1160268,"200000",93,1,1,0,0,0,"trois"
"3181","14181","boiler room","[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",2000-02-18,"2000","02","18",28780255,"26000000",118,1,1,0,0,0,"boilerroom"
"3182","10385","hanging up","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",2000-02-16,"2000","02","16",36037909,"40000000",94,1,0,0,0,1,"hangingup"
"3183","2787","pitch black","[{'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}]",2000-02-18,"2000","02","18",53187659,"23000000",108,0,1,0,1,1,"pitchblack"
"3184","2069","the whole nine yards","[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",2000-02-18,"2000","02","18",106371651,"41300000",98,1,0,0,0,1,"thewholenineyards"
"3186","79515","black tar heroin the dark end of the street","[{'id': 99, 'name': 'Documentary'}]",2000-03-17,"2000","03","17",0,"0",75,0,0,1,0,0,"blacktarherointhedarkendofthestreet"
"3199","2155","reindeer games","[{'id': 53, 'name': 'Thriller'}]",2000-02-25,"2000","02","25",32168970,"42000000",124,0,1,0,0,0,"reindeergames"
"3200","11004","wonder boys","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",2000-02-22,"2000","02","22",0,"35000000",111,1,0,0,0,1,"wonderboys"
"3201","25212","deterrence","[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",2000-03-10,"2000","03","10",0,"0",101,1,1,0,1,0,"deterrence"
"3205","47816","3 strikes","[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",2000-03-01,"2000","03","01",9e+06,"6000000",82,1,0,0,1,1,"3strikes"
"3206","20682","chain of fools","[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",2000-09-22,"2000","09","22",0,"20000000",96,1,0,0,1,1,"chainoffools"
"3207","25166","drowning mona","[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]",2000-03-03,"2000","03","03",15427192,"16000000",96,1,1,0,0,1,"drowningmona"
"3208","1831","the next best thing","[{'id': 35, 'name': 'Comedy'}]",2000-03-03,"2000","03","03",24362772,"25000000",108,0,0,0,0,1,"thenextbestthing"
"3209","10416","what planet are you from ","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 878, 'name': 'Science Fiction'}]",2000-03-03,"2000","03","03",0,"60000000",105,1,0,0,0,1,"whatplanetareyoufrom"
"3236","73642","the closer you get","[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 10769, 'name': 'Foreign'}]",2000-12-27,"2000","12","27",0,"0",93,1,0,0,0,1,"thecloseryouget"
"3237","2067","mission to mars","[{'id': 878, 'name': 'Science Fiction'}]",2000-03-10,"2000","03","10",60874615,"90000000",114,0,0,0,0,1,"missiontomars"
"3239","110666","condo painting","[{'id': 99, 'name': 'Documentary'}]",2000-03-17,"2000","03","17",0,"0",0,0,0,1,0,0,"condopainting"
"3290","462","erin brockovich","[{'id': 18, 'name': 'Drama'}]",2000-03-17,"2000","03","17",256271286,"52000000",131,1,0,0,0,0,"erinbrockovich"
"3291","9532","final destination","[{'id': 27, 'name': 'Horror'}]",2000-03-16,"2000","03","16",53302314,"23000000",98,0,1,0,0,0,"finaldestination"
"3333","2085","romeo must die","[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",2000-03-20,"2000","03","20",91036760,"25000000",115,1,1,0,1,0,"romeomustdie"
"3334","13539","here on earth","[{'id': 10749, 'name': 'Romance'}]",2000-03-23,"2000","03","23",0,"0",96,1,0,0,0,0,"hereonearth"
"3335","16222","whatever it takes","[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",2000-03-31,"2000","03","31",9902115,"15000000",94,1,0,0,0,1,"whateverittakes"
"3338","37722","waking the dead","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",2000-03-23,"2000","03","23",327418,"8500000",105,1,0,0,0,0,"wakingthedead"
"3362","243","high fidelity","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10402, 'name': 'Music'}]",2000-03-17,"2000","03","17",47126295,"30000000",113,1,0,1,0,1,"highfidelity"
"3363","10501","the road to el dorado","[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",2000-03-31,"2000","03","31",76432727,"95000000",89,0,0,0,1,1,"theroadtoeldorado"
"3364","11478","the skulls","[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",2000-03-31,"2000","03","31",35007180,"15000000",106,1,1,0,0,0,"theskulls"
"3390","10559","frequency","[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",2000-04-28,"2000","04","28",68106245,"31000000",118,1,1,0,0,1,"frequency"
"3391","20697","ready to rumble","[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",2000-04-07,"2000","04","07",12372410,"24000000",107,1,0,0,1,1,"readytorumble"
"3392","2621","return to me","[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",2000-04-07,"2000","04","07",36609995,"24000000",115,1,0,0,0,1,"returntome"
"3393","10479","rules of engagement","[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",2000-04-07,"2000","04","07",7.1e+07,"60000000",128,1,0,1,1,1,"rulesofengagement"
"3394","125709","joe gould s secret","[{'id': 18, 'name': 'Drama'}]",2000-01-21,"2000","01","21",0,"0",104,1,0,0,0,0,"joegouldssecret"
"3395","49721","me myself i","[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",2000-04-20,"2000","04","20",369975,"0",104,1,0,0,0,1,"memyselfi"
"3413","10468","28 days","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",2000-04-06,"2000","04","06",0,"43000000",103,1,0,0,0,1,"28days"
"3414","1359","american psycho","[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",2000-04-13,"2000","04","13",34266564,"7000000",102,1,1,0,0,0,"americanpsycho"
"3415","4967","keeping the faith","[{'id': 35, 'name': 'Comedy'}]",2000-04-14,"2000","04","14",37036004,"30000000",127,0,0,0,0,1,"keepingthefaith"
"3416","31776","where the money is","[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",2000-04-14,"2000","04","14",0,"0",89,1,0,0,0,1,"wherethemoneyis"
"3418","27745","the filth and the fury","[{'id': 99, 'name': 'Documentary'}, {'id': 10402, 'name': 'Music'}]",2000-03-29,"2000","03","29",0,"0",108,0,0,1,0,0,"thefilthandthefury"
"3419","19214","passion of mind","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",2000-01-07,"2000","01","07",0,"0",105,1,0,0,0,0,"passionofmind"
"3432","18041","gossip","[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",2000-04-21,"2000","04","21",5108820,"14000000",90,1,1,0,0,0,"gossip"
