"","original_title","id","actorRank","Director","runtime","ProductionBudget","DomesticGross","release_date","quarter","drama","thriller","nonfiction","action","amusement","earnings_percent","Success_2_to_1"
"1","the brothers",20322,3,"gary hardwick",106,6e+06,27457409,"2001-03-23","Q1",1,0,0,0,1,3.57623483333333,1
"2","not easily broken",14834,3,"bill duke",99,5e+06,10572742,"2009-01-09","Q1",1,0,0,0,0,1.1145484,1
"3","son of god",235260,3,"christopher spencer",138,2.2e+07,59700064,"2014-02-28","Q1",1,0,0,0,0,1.71363927272727,1
"4","songcatcher",62677,3,"maggie greenwald",109,1800000,3050934,"2001-03-01","Q2",1,0,1,0,0,0.694963333333333,0
"5","incarnate",241258,3,"brad peyton",91,5e+06,4799774,"2016-12-01","Q4",0,1,0,0,0,-0.0400452,0
"6","the core",9341,3,"jon amiel",136,8.5e+07,31111260,"2003-03-28","Q1",0,1,0,1,1,-0.633985176470588,0
"7","the wall",405775,3,"doug liman",89,3e+06,1803064,"2017-05-12","Q2",1,1,1,1,0,-0.398978666666667,0
"8","kick ass 2",59859,3,"jeff wadlow",103,2.8e+07,28795985,"2013-07-17","Q3",1,0,0,1,1,0.0284280357142857,0
"9","dum maaro dum",63006,3,"rohan sippy",130,5200000,564489,"2011-04-22","Q2",1,0,0,1,0,-0.891444423076923,0
"10","as it is in heaven",257238,3,"joshua overbay",86,450000,13486,"2014-08-15","Q3",1,0,0,0,0,-0.970031111111111,0
"11","soul kitchen",31175,3,"fatih akin",99,4900000,276901,"2009-09-09","Q2",1,0,0,0,1,-0.943489591836735,0
"12","think like a man too",184098,3,"tim story",105,2.4e+07,65028687,"2014-06-20","Q2",1,0,0,0,1,1.709528625,1
"13","road hard",291362,3,"adam carolla",97,1500000,113169,"2015-03-06","Q1",0,0,0,0,1,-0.924554,0
"14","the hammer",14014,3,"charles herman wurmfeld",88,850000,442638,"2007-04-01","Q1",0,0,0,0,1,-0.479249411764706,0
"15","the hebrew hammer",19187,3,"jonathan kesselman",85,1300000,77755,"2003-01-01","Q4",0,0,0,1,1,-0.940188461538462,0
