"","original_title","id","genres","release_date","revenue","budget","runtime","popularity","production_companies","vote_average","DomesticGross","Theaters","TotalGross","ReleaseDate","Distributor","Year","FullDate"
"1","!womenartrevolution","55245","[{'id': 99, 'name': 'Documentary'}]",2010-01-01,0,"0",83,"0.077485","[]",4.3,"52681","4","52681","Jun 1","Zeitgeist Films",2011,2011-06-01
"2","'71","252178","[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",2014-10-10,1625847,"0",99,"7.08055","[{'name': 'Screen Yorkshire', 'id': 2690}, {'name': 'British Film Institute (BFI)', 'id': 7281}, {'name': 'Creative Scotland', 'id': 8087}, {'name': 'Film4', 'id': 9349}, {'name': 'Warp Films', 'id': 12180}, {'name': 'Crab Apple Films', 'id': 41517}]",6.7,"1270847","121","1270847","Feb 27","Roadside Attractions",2015,2015-02-27
"3","'rxmas","49110","[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",2001-10-04,0,"0",85,"0.946443","[{'name': 'Barnholtz Entertainment', 'id': 11860}]",5.3,"850","1","850","Nov 8","-",2002,2002-11-08
"4","(untitled)","45261","[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",2009-10-25,230600,"0",96,"4.976918","[]",6.6,"230600","25","230600","Oct 23","The Samuel Goldwyn Company",2009,2009-10-23
"5","$9.99","19311","[{'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}]",2008-09-04,0,"0",78,"3.350555","[{'name': 'Australian Film Finance Corporation', 'id': 1380}]",6,"1683","4","52384","Dec 12","Regent Releasing",2010,2010-12-12
"6","$9.99","19311","[{'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}]",2008-09-04,0,"0",78,"3.350555","[{'name': 'Australian Film Finance Corporation', 'id': 1380}]",6,"781","4","52384","Dec 12","Regent Releasing",2008,2008-12-12
"7","$9.99","19311","[{'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}]",2008-09-04,0,"0",78,"3.350555","[{'name': 'Australian Film Finance Corporation', 'id': 1380}]",6,"49920","4","52384","Dec 12","Regent Releasing",2009,2009-12-12
"8","10,000bc","7840","[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",2008-02-22,2.66e+08,"105000000",109,"13.99377","[{'name': 'Centropolis Entertainment', 'id': 347}, {'name': 'Legendary Pictures', 'id': 923}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Moonlighting Films', 'id': 9137}, {'name': 'The Department of Trade and Industry of South Africa', 'id': 10884}]",5.1,"94784201","3454","94784201","Mar 7","Warner Bros.",2008,2008-03-07
"9","10.000km","253251","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",2014-05-16,0,"0",99,"2.257993","[{'name': 'Televisión Española (TVE)', 'id': 6639}, {'name': 'Televisió de Catalunya (TV3)', 'id': 8530}, {'name': 'La Panda', 'id': 17727}, {'name': 'Broad Green Pictures', 'id': 49389}]",6.3,"12423","11","12423","Jul 10","Broad Green Pictures",2015,2015-07-10
"10","100bloodyacres","126757","[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]",2012-08-04,0,"0",91,"3.693288","[{'name': 'Cyan Films', 'id': 56277}, {'name': 'Major International Pictures', 'id': 57283}]",6.2,"6388","13","6388","Jun 28","Doppelganger Releasing",2013,2013-06-28
