"","Title","DomesticGross","Theaters","TotalGross","ReleaseDate","Distributor","Year","FullDate"
"1","how the grinch stole christmas","251628705","3256","260044825","Nov 17","Universal Pictures",2000,2000-11-17
"2","mission: impossible ii","215409889","3669","215409889","May 24","Paramount Pictures",2000,2000-05-24
"3","gladiator","186610052","3188","187705427","May 5","DreamWorks Distribution",2000,2000-05-05
"4","the perfect storm","182618434","3407","182618434","Jun 30","Warner Bros.",2000,2000-06-30
"5","meet the parents","161146255","2697","166244045","Oct 6","Universal Pictures",2000,2000-10-06
"6","x-men","157299718","3112","157299718","Jul 14","Twentieth Century Fox",2000,2000-07-14
"7","scary movie","157019771","3301","157019771","Jul 7","Miramax",2000,2000-07-07
"8","what lies beneath","155359812","2925","155464351","Jul 21","DreamWorks Distribution",2000,2000-07-21
"9","dinosaur","137748063","3319","137748063","May 19","Walt Disney Studios Motion Pictures",2000,2000-05-19
"10","erin brockovich","125595205","3070","125595205","Mar 17","Universal Pictures",2000,2000-03-17
"11","nutty professor ii: the klumps","123305415","3251","123309890","Jul 28","Universal Pictures",2000,2000-07-28
"12","charlie's angels","122693797","3037","125305545","Nov 3","Sony Pictures Releasing",2000,2000-11-03
"13","big momma's house","117559438","2854","117559438","Jun 2","Twentieth Century Fox",2000,2000-06-02
"14","remember the titans","113546621","2803","115654751","Sep 29","Walt Disney Studios Motion Pictures",2000,2000-09-29
"15","the patriot","113330342","3061","113330342","Jun 28","Sony Pictures Releasing",2000,2000-06-28
"16","what women want","110187917","3092","182811707","Dec 15","Paramount Pictures",2000,2000-12-15
"17","chicken run","106834564","2953","106834564","Jun 23","DreamWorks Distribution",2000,2000-06-23
"18","gone in 60 seconds","101648571","3089","101648571","Jun 9","Walt Disney Studios Motion Pictures",2000,2000-06-09
"19","cast away","100628725","3061","233632142","Dec 22","Twentieth Century Fox",2000,2000-12-22
"20","me, myself & irene","90570999","3087","90570999","Jun 23","Twentieth Century Fox",2000,2000-06-23
"21","space cowboys","90107204","2835","90464773","Aug 4","Warner Bros.",2000,2000-08-04
"22","scream 3","89143175","3467","89143175","Feb 4","Dimension Films",2000,2000-02-04
"23","unbreakable","88304876","2708","95011339","Nov 22","Walt Disney Studios Motion Pictures",2000,2000-11-22
"24","u-571","77122415","2820","77122415","Apr 21","Universal Pictures",2000,2000-04-21
"25","hollow man","73209340","2956","73209340","Aug 4","Sony Pictures Releasing",2000,2000-08-04
"26","stuart little","72701240","3151","140035367","Dec 17","Sony Pictures Releasing",2000,2000-12-17
"27","shaft","70334258","2433","70334258","Jun 16","Paramount Pictures",2000,2000-06-16
"28","the green mile","69839360","2875","136801374","Dec 10","Warner Bros.",2000,2000-12-10
"29","the kid","69691949","2343","69691949","Jul 7","Walt Disney Studios Motion Pictures",2000,2000-07-07
"30","rugrats in paris: the movie","68941692","2937","76507756","Nov 17","Paramount Pictures",2000,2000-11-17
"31","road trip","68540777","2654","68540777","May 19","DreamWorks Distribution",2000,2000-05-19
"32","bring it on","68337590","2466","68379000","Aug 25","Universal Pictures",2000,2000-08-25
"33","rules of engagement","61335230","3220","61335230","Apr 7","Paramount Pictures",2000,2000-04-07
"34","the cell","61334059","2476","61334059","Aug 18","New Line Cinema",2000,2000-08-18
"35","mission to mars","60883407","3101","60883407","Mar 10","Walt Disney Studios Motion Pictures",2000,2000-03-10
"36","coyote ugly","60786269","2664","60786269","Aug 4","Walt Disney Studios Motion Pictures",2000,2000-08-04
"37","snow day","60020107","2717","60020107","Feb 11","Paramount Pictures",2000,2000-02-11
