"","original_title","id","release_date","Actor","actorMovieCount","runtime","ProductionBudget","DomesticGross","quarter","animation","comedy","family","adventure","fantasy","romance","drama","action","crime","thriller","horror","history","mystery","war","music","documentary","western","scifi"
"2105","the visit","70282",2000-01-01,"obbababatundé",1,107,5e+06,65206105,"Q3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1219","next friday","10471",2000-01-12,"icecube",7,98,9500000,57176582,"Q1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1196","my dog skip","17908",2000-01-14,"frankiemuniz",3,95,7e+06,34099640,"Q1",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1637","supernova","10384",2000-01-14,"jamesspader",4,91,6e+07,14218868,"Q1",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"2216","urbania","77332",2000-01-24,"danfutterman",2,103,225000,1032075,"Q3",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"1725","the broken hearts club a romantic comedy","22597",2000-02-01,"benweber",1,94,1e+06,1744858,"Q3",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"118","anatomie","1698",2000-02-03,"frankapotente",2,103,2500000,9598,"Q3",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"1485","scream 3","4234",2000-02-03,"davidarquette",2,116,4e+07,89138076,"Q1",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"766","gun shy","29076",2000-02-04,"sandrabullock",6,101,1e+07,1638202,"Q1",0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"779","hanging up","10385",2000-02-16,"megryan",1,94,4e+07,36037909,"Q1",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1326","pitch black","2787",2000-02-18,"vindiesel",1,108,2.3e+07,39235088,"Q1",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
"2114","the whole nine yards","2069",2000-02-18,"brucewillis",4,98,2.4e+07,57262492,"Q1",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
