"","id","X","original_title","release_date","Actor","actorMovieCount","runtime","ProductionBudget","DomesticGross","quarter","animation","comedy","family","adventure","fantasy","romance","drama","action","crime","thriller","horror","history","mystery","war","music","documentary","western","scifi","clean_director","New Year's Day","Martin Luther King Jr. Day","Valentine's Day","Presidents' Day","Good Friday","Mother's Day","Memorial Day","Father's Day","Independence Day","Labor Day","Columbus Day","Veterans Day","Thanksgiving Day","Christmas Eve","Christmas Day","Independence Day observed","Christmas Day observed","New Year's Day observed","Christmas Eve observed","Veterans Day observed","related_holiday"
"1",16,463,"dancer in the dark",2000-05-17,"bjˆrk",1,140,12500000,4157491,"Q3",0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,"larsvontrier",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"2",20,1202,"my life without me",2003-03-07,"sarahpolley",1,106,2500000,432360,"Q3",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"isabelcoixet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"3",35,2060,"the simpsons movie",2007-07-25,"dancastellaneta",1,87,72500000,183135014,"Q3",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"davidsilverman",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"4",38,582,"eternal sunshine of the spotless mind",2004-03-19,"jimcarrey",7,108,2e+07,34366518,"Q1",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,"michelgondry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"5",55,114,"amores perros",2000-06-16,"gaelgarcÌabernal",3,154,2e+06,5383834,"Q1",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"alejandrogonz√°lezi√±√°rritu",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"6",59,59,"a history of violence",2005-09-23,"viggomortensen",3,96,3.2e+07,31493782,"Q3",0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,"davidcronenberg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"7",65,28,"8 mile",2002-11-08,"eminem",1,110,4.1e+07,116724075,"Q4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"curtishanson",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"8",70,1149,"million dollar baby",2004-12-15,"clinteastwood",11,132,3e+07,100492203,"Q4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"clinteastwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"9",77,1122,"memento",2000-10-11,"guypearce",1,113,5e+06,25544867,"Q1",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"christophernolan",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"None"
"10",83,1272,"open water",2004-08-06,"blanchardryan",1,79,5e+05,30500882,"Q3",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"chriskentis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"11",98,725,"gladiator",2000-05-01,"russellcrowe",6,155,1.03e+08,187683805,"Q2",0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"ridleyscott",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"12",118,369,"charlie and the chocolate factory",2005-07-13,"johnnydepp",10,115,1.5e+08,206459076,"Q3",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"timburton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"13",120,1930,"the lord of the rings the fellowship of the ring",2001-12-18,"elijahwood",2,178,1.09e+08,315544750,"Q4",0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"peterjackson",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"14",134,1244,"o brother where art thou ",2000-08-30,"georgeclooney",6,106,2.6e+07,45506619,"Q4",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"joelcoen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"15",141,528,"donnie darko",2001-01-18,"jakegyllenhaal",2,113,4500000,1480006,"Q4",0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,"richardkelly",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"16",167,988,"k pax",2001-10-22,"jeffbridges",8,120,4.8e+07,50315140,"Q3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"iainsoftley",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"17",176,1476,"saw",2004-10-01,"caryelwes",2,103,1200000,55968727,"Q4",0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,"jameswan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"18",180,1151,"minority report",2002-06-20,"tomcruise",5,145,1.02e+08,132024714,"Q2",0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,"stevenspielberg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"19",186,1080,"lucky number slevin",2006-02-24,"joshhartnett",1,110,2.7e+07,22495466,"Q2",0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,"paulmcguigan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"20",187,1534,"sin city",2005-04-01,"jessicaalba",4,124,4e+07,74103820,"Q2",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,"frankmiller",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
