"","success_1_to_1","id","original_title","release_date","Actor","Director","actorMovieCount","directorMovieCount","runtime","ProductionBudget","DomesticGross","quarter","animation","comedy","family","adventure","fantasy","romance","drama","action","crime","thriller","horror","history","mystery","war","music","documentary","western","holidays","New.Year.s.Day","Martin.Luther.King.Jr..Day","Valentine.s.Day","Presidents..Day","Good.Friday","Mother.s.Day","Memorial.Day","Father.s.Day","Independence.Day","Labor.Day","Columbus.Day","Veterans.Day","Thanksgiving.Day","Christmas.Eve","Christmas.Day","Independence.Day.observed","Christmas.Day.observed","New.Year.s.Day.observed","Christmas.Eve.observed","Veterans.Day.observed","related_holiday"
"1",0,16,"dancer in the dark","2000-05-17","björk","larsvontrier",0,0,140,12500000,4157491,"Q3",0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mother's Day"
"2",0,20,"my life without me","2003-03-07","sarahpolley","isabelcoixet",0,1,106,2500000,432360,"Q3",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"3",1,35,"the simpsons movie","2007-07-25","dancastellaneta","davidsilverman",0,0,87,72500000,183135014,"Q3",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"4",1,38,"eternal sunshine of the spotless mind","2004-03-19","jimcarrey","michelgondry",0,1,108,2e+07,34366518,"Q1",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"5",1,55,"amores perros","2000-06-16","gaelgarcíabernal","alejandrogonzáleziñárritu",2,1,154,2e+06,5383834,"Q1",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Father's Day"
"6",0,59,"a history of violence","2005-09-23","viggomortensen","davidcronenberg",2,2,96,3.2e+07,31493782,"Q3",0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"7",1,65,"8 mile","2002-11-08","eminem","curtishanson",0,1,110,4.1e+07,116724075,"Q4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Veterans Day"
"8",1,70,"million dollar baby","2004-12-15","clinteastwood","clinteastwood",2,8,132,3e+07,100492203,"Q4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"9",1,77,"memento","2000-10-11","guypearce","christophernolan",0,1,113,5e+06,25544867,"Q1",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Columbus Day"
"10",1,83,"open water","2004-08-06","blanchardryan","chriskentis",0,1,79,5e+05,30500882,"Q3",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"11",1,98,"gladiator","2000-05-01","russellcrowe","ridleyscott",4,2,155,1.03e+08,187683805,"Q2",0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"12",1,118,"charlie and the chocolate factory","2005-07-13","johnnydepp","timburton",3,1,115,1.5e+08,206459076,"Q3",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"13",1,120,"the lord of the rings the fellowship of the ring","2001-12-18","elijahwood","peterjackson",0,1,178,1.09e+08,315544750,"Q4",0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"14",1,134,"o brother where art thou ","2000-08-30","georgeclooney","joelcoen",2,1,106,2.6e+07,45506619,"Q4",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"15",0,141,"donnie darko","2001-01-18","jakegyllenhaal","richardkelly",1,0,113,4500000,1480006,"Q4",0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Martin Luther King Jr. Day"
"16",1,167,"k pax","2001-10-22","jeffbridges","iainsoftley",4,0,120,4.8e+07,50315140,"Q3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"17",1,176,"saw","2004-10-01","caryelwes","jameswan",0,3,103,1200000,55968727,"Q4",0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"18",1,180,"minority report","2002-06-20","tomcruise","stevenspielberg",1,2,145,1.02e+08,132024714,"Q2",0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"19",0,186,"lucky number slevin","2006-02-24","joshhartnett","paulmcguigan",0,2,110,2.7e+07,22495466,"Q2",0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"20",1,187,"sin city","2005-04-01","jessicaalba","robertrodriguez",3,4,124,4e+07,74103820,"Q2",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"21",0,189,"sin city a dame to kill for","2014-08-20","mickeyrourke","robertrodriguez",0,0,102,6.5e+07,13757804,"Q3",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"22",0,201,"star trek nemesis","2002-12-13","patrickstewart","stuartbaird",0,0,117,6e+07,43254409,"Q4",0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"23",1,277,"underworld","2003-09-19","katebeckinsale","lenwiseman",1,0,121,2.2e+07,51970690,"Q3",0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"24",1,292,"dave chappelle s block party","2005-09-12","davechappelle","michelgondry",0,0,100,3e+06,11718595,"Q1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"25",0,296,"terminator 3 rise of the machines","2003-07-02","arnoldschwarzenegger","jonathanmostow",2,0,109,1.7e+08,150358296,"Q3",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Independence Day"
